transformer_id,feeder_id,barangay,lat,lon,capacity_kVA
TX_0001,FD_08,Poblacion,14.417592570047116,121.10172980914938,100.0
TX_0002,FD_02,Poblacion,14.44805106425742,121.13433338035972,100.0
TX_0003,FD_02,Bagong Silang,14.595233897974458,121.17463347929908,150.0
TX_0004,FD_09,Riverside,14.599632253816369,121.0590239509121,150.0
TX_0005,FD_08,Rizal,14.449709072406819,120.98461154523875,100.0
TX_0006,FD_02,Riverside,14.590489789336043,121.0409872404207,150.0
TX_0007,FD_02,San Miguel,14.495477156125975,121.0839664892025,100.0
TX_0008,FD_06,Santa Cruz,14.496344003557908,121.00723436574648,100.0
TX_0009,FD_10,San Isidro,14.40534852727436,121.09477328969255,200.0
TX_0010,FD_03,Santa Cruz,14.505395174266177,121.00278970848323,150.0
TX_0011,FD_03,Bagong Silang,14.624551319741999,121.1472030029004,150.0
TX_0012,FD_04,San Isidro,14.410862414763715,121.10187618104348,150.0
TX_0013,FD_07,San Miguel,14.499195419153379,121.12283334814842,75.0
TX_0014,FD_09,Maligaya,14.465541366473683,121.18303718323703,150.0
TX_0015,FD_08,Santa Cruz,14.507707882601947,121.00630885190982,75.0
TX_0016,FD_09,Maligaya,14.48385518332601,121.19833066549175,300.0
TX_0017,FD_03,Maligaya,14.486869523210162,121.1870725843508,300.0
TX_0018,FD_10,Rizal,14.44495058855323,120.95891731287341,200.0
TX_0019,FD_08,Maligaya,14.506508401699437,121.16988130402264,200.0
TX_0020,FD_10,Mabini,14.485025030709085,121.0055504163111,100.0
