meter_id,anomaly_score,anomaly_flag,anomaly_label,composite_score,confidence,risk_band,risk_score,priority
MTR_000001,0.5034371293220861,1,-1,0.44240599052546026,0.44240599052546026,LOW,0.44240599052546026,0.44240599052546026
MTR_000002,0.9373145927285763,1,-1,0.7461202149100034,0.7461202149100034,HIGH,0.7461202149100034,0.7461202149100034
MTR_000003,0.5247340353682162,1,-1,0.4573138247577513,0.4573138247577513,MEDIUM,0.4573138247577513,0.4573138247577513
MTR_000004,0.174691917306299,1,-1,0.21228434211440927,0.21228434211440927,LOW,0.21228434211440927,0.21228434211440927
MTR_000005,0.2551546749962682,1,-1,0.2686082724973877,0.2686082724973877,LOW,0.2686082724973877,0.2686082724973877
MTR_000006,0.49261934397579155,1,-1,0.43483354078305403,0.43483354078305403,LOW,0.43483354078305403,0.43483354078305403
MTR_000007,0.2182362579208383,1,-1,0.2427653805445868,0.2427653805445868,LOW,0.2427653805445868,0.2427653805445868
MTR_000008,0.1271663434617526,1,-1,0.1790164404232268,0.1790164404232268,LOW,0.1790164404232268,0.1790164404232268
MTR_000009,0.1857769657431433,1,-1,0.2200438760202003,0.2200438760202003,LOW,0.2200438760202003,0.2200438760202003
MTR_000010,0.15694535560521272,1,-1,0.19986174892364889,0.19986174892364889,LOW,0.19986174892364889,0.19986174892364889
MTR_000011,0.16518174341240352,1,-1,0.20562722038868245,0.20562722038868245,LOW,0.20562722038868245,0.20562722038868245
MTR_000012,0.4927312804198496,1,-1,0.4349118962938947,0.4349118962938947,LOW,0.4349118962938947,0.4349118962938947
MTR_000013,0.47326403901290026,1,-1,0.42128482730903016,0.42128482730903016,LOW,0.42128482730903016,0.42128482730903016
MTR_000014,0.386720494984241,1,-1,0.36070434648896865,0.36070434648896865,LOW,0.36070434648896865,0.36070434648896865
MTR_000015,0.13175706434198806,1,-1,0.18222994503939163,0.18222994503939163,LOW,0.18222994503939163,0.18222994503939163
MTR_000016,0.33888049529615294,1,-1,0.32721634670730704,0.32721634670730704,LOW,0.32721634670730704,0.32721634670730704
MTR_000017,0.22396388976138182,1,-1,0.24677472283296725,0.24677472283296725,LOW,0.24677472283296725,0.24677472283296725
MTR_000018,0.16337257224809293,1,-1,0.20436080057366504,0.20436080057366504,LOW,0.20436080057366504,0.20436080057366504
MTR_000019,0.2749802985755102,1,-1,0.28248620900285715,0.28248620900285715,LOW,0.28248620900285715,0.28248620900285715
MTR_000020,0.5621035061777276,1,-1,0.48347245432440933,0.48347245432440933,MEDIUM,0.48347245432440933,0.48347245432440933
MTR_000021,0.11761852345345333,1,-1,0.17233296641741733,0.17233296641741733,LOW,0.17233296641741733,0.17233296641741733
MTR_000022,0.12484198053957202,1,-1,0.1773893863777004,0.1773893863777004,LOW,0.1773893863777004,0.1773893863777004
MTR_000023,0.13113607457059323,1,-1,0.18179525219941525,0.18179525219941525,LOW,0.18179525219941525,0.18179525219941525
MTR_000024,0.17770813357154455,1,-1,0.21439569350008117,0.21439569350008117,LOW,0.21439569350008117,0.21439569350008117
MTR_000025,0.21885299873472822,1,-1,0.24319709911430973,0.24319709911430973,LOW,0.24319709911430973,0.24319709911430973
MTR_000026,0.31460099173474276,1,-1,0.3102206942143199,0.3102206942143199,LOW,0.3102206942143199,0.3102206942143199
MTR_000027,0.22853387064075256,1,-1,0.2499737094485268,0.2499737094485268,LOW,0.2499737094485268,0.2499737094485268
MTR_000028,0.12793104569772706,1,-1,0.17955173198840893,0.17955173198840893,LOW,0.17955173198840893,0.17955173198840893
MTR_000029,0.2341826109874193,1,-1,0.2539278276911935,0.2539278276911935,LOW,0.2539278276911935,0.2539278276911935
MTR_000030,0.366576773631292,1,-1,0.3466037415419043,0.3466037415419043,LOW,0.3466037415419043,0.3466037415419043
MTR_000031,0.3180155562693461,1,-1,0.3126108893885422,0.3126108893885422,LOW,0.3126108893885422,0.3126108893885422
MTR_000032,0.2361424822048093,1,-1,0.2552997375433665,0.2552997375433665,LOW,0.2552997375433665,0.2552997375433665
MTR_000033,0.22595337274979818,1,-1,0.24816736092485872,0.24816736092485872,LOW,0.24816736092485872,0.24816736092485872
MTR_000034,0.09578932934999934,1,-1,0.1570525305449995,0.1570525305449995,LOW,0.1570525305449995,0.1570525305449995
MTR_000035,0.20400479705480562,1,-1,0.23280335793836393,0.23280335793836393,LOW,0.23280335793836393,0.23280335793836393
MTR_000036,0.35204579860077656,1,-1,0.3364320590205436,0.3364320590205436,LOW,0.3364320590205436,0.3364320590205436
MTR_000037,0.13695667192146757,1,-1,0.18586967034502727,0.18586967034502727,LOW,0.18586967034502727,0.18586967034502727
MTR_000038,0.139384496566457,1,-1,0.18756914759651988,0.18756914759651988,LOW,0.18756914759651988,0.18756914759651988
MTR_000039,0.8638075665555509,1,-1,0.6946652965888855,0.6946652965888855,HIGH,0.6946652965888855,0.6946652965888855
MTR_000040,0.07549583105893545,1,-1,0.14284708174125482,0.14284708174125482,LOW,0.14284708174125482,0.14284708174125482
MTR_000041,0.1511945632952429,1,-1,0.19583619430667001,0.19583619430667001,LOW,0.19583619430667001,0.19583619430667001
MTR_000042,0.10194220753040287,1,-1,0.161359545271282,0.161359545271282,LOW,0.161359545271282,0.161359545271282
MTR_000043,0.3518868960847973,1,-1,0.3363208272593581,0.3363208272593581,LOW,0.3363208272593581,0.3363208272593581
MTR_000044,0.183151091386003,1,-1,0.21820576397020208,0.21820576397020208,LOW,0.21820576397020208,0.21820576397020208
MTR_000045,0.10142552116989627,1,-1,0.16099786481892736,0.16099786481892736,LOW,0.16099786481892736,0.16099786481892736
MTR_000046,0.6882614767061854,1,-1,0.5717830336943298,0.5717830336943298,MEDIUM,0.5717830336943298,0.5717830336943298
MTR_000047,0.9322252099523783,1,-1,0.7425576469666648,0.7425576469666648,HIGH,0.7425576469666648,0.7425576469666648
MTR_000048,0.3301588567650592,1,-1,0.3211111997355414,0.3211111997355414,LOW,0.3211111997355414,0.3211111997355414
MTR_000049,0.1651507239953537,1,-1,0.20560550679674755,0.20560550679674755,LOW,0.20560550679674755,0.20560550679674755
MTR_000050,0.760122222971827,1,-1,0.6220855560802788,0.6220855560802788,MEDIUM,0.6220855560802788,0.6220855560802788
MTR_000051,0.1037216133286567,1,-1,0.1626051293300597,0.1626051293300597,LOW,0.1626051293300597,0.1626051293300597
MTR_000052,0.3493001263107062,1,-1,0.3345100884174943,0.3345100884174943,LOW,0.3345100884174943,0.3345100884174943
MTR_000053,0.08887470830383522,1,-1,0.15221229581268464,0.15221229581268464,LOW,0.15221229581268464,0.15221229581268464
MTR_000054,0.21984597055856644,1,-1,0.2438921793909965,0.2438921793909965,LOW,0.2438921793909965,0.2438921793909965
MTR_000055,0.1300918979287236,1,-1,0.1810643285501065,0.1810643285501065,LOW,0.1810643285501065,0.1810643285501065
MTR_000056,0.09100757906217485,1,-1,0.1537053053435224,0.1537053053435224,LOW,0.1537053053435224,0.1537053053435224
MTR_000057,0.12836231995847353,1,-1,0.17985362397093146,0.17985362397093146,LOW,0.17985362397093146,0.17985362397093146
MTR_000058,0.06893938849450501,1,-1,0.1382575719461535,0.1382575719461535,LOW,0.1382575719461535,0.1382575719461535
MTR_000059,0.1661867715714336,1,-1,0.20633074010000352,0.20633074010000352,LOW,0.20633074010000352,0.20633074010000352
MTR_000060,0.2330516325162419,1,-1,0.2531361427613693,0.2531361427613693,LOW,0.2531361427613693,0.2531361427613693
MTR_000061,0.15271280809937873,1,-1,0.1968989656695651,0.1968989656695651,LOW,0.1968989656695651,0.1968989656695651
MTR_000062,0.14692387614666053,1,-1,0.19284671330266234,0.19284671330266234,LOW,0.19284671330266234,0.19284671330266234
MTR_000063,0.28707266641033397,1,-1,0.2909508664872338,0.2909508664872338,LOW,0.2909508664872338,0.2909508664872338
MTR_000064,0.3486298951137243,1,-1,0.33404092657960693,0.33404092657960693,LOW,0.33404092657960693,0.33404092657960693
MTR_000065,0.46941829898389653,1,-1,0.41859280928872755,0.41859280928872755,LOW,0.41859280928872755,0.41859280928872755
MTR_000066,0.6772409424704352,1,-1,0.5640686597293046,0.5640686597293046,MEDIUM,0.5640686597293046,0.5640686597293046
MTR_000067,0.608298417708012,1,-1,0.5158088923956083,0.5158088923956083,MEDIUM,0.5158088923956083,0.5158088923956083
MTR_000068,0.37032315889628764,1,-1,0.3492262112274014,0.3492262112274014,LOW,0.3492262112274014,0.3492262112274014
MTR_000069,0.31668453763622534,1,-1,0.3116791763453577,0.3116791763453577,LOW,0.3116791763453577,0.3116791763453577
MTR_000070,0.4300087922641993,1,-1,0.3910061545849395,0.3910061545849395,LOW,0.3910061545849395,0.3910061545849395
MTR_000071,0.3422584261583026,1,-1,0.32958089831081183,0.32958089831081183,LOW,0.32958089831081183,0.32958089831081183
MTR_000072,0.3696200785044637,1,-1,0.3487340549531246,0.3487340549531246,LOW,0.3487340549531246,0.3487340549531246
MTR_000073,0.2939063082284035,1,-1,0.29573441575988246,0.29573441575988246,LOW,0.29573441575988246,0.29573441575988246
MTR_000074,0.6579919349494501,1,-1,0.550594354464615,0.550594354464615,MEDIUM,0.550594354464615,0.550594354464615
MTR_000075,0.3428250377545456,1,-1,0.3299775264281819,0.3299775264281819,LOW,0.3299775264281819,0.3299775264281819
MTR_000076,0.5728768302337004,1,-1,0.4910137811635903,0.4910137811635903,MEDIUM,0.4910137811635903,0.4910137811635903
MTR_000077,0.410762724273772,1,-1,0.37753390699164036,0.37753390699164036,LOW,0.37753390699164036,0.37753390699164036
MTR_000078,0.45046645720392514,1,-1,0.4053265200427476,0.4053265200427476,LOW,0.4053265200427476,0.4053265200427476
MTR_000079,0.4196493172348724,1,-1,0.38375452206441063,0.38375452206441063,LOW,0.38375452206441063,0.38375452206441063
MTR_000080,0.7553703494744384,1,-1,0.6187592446321067,0.6187592446321067,MEDIUM,0.6187592446321067,0.6187592446321067
MTR_000081,0.931893517143004,1,-1,0.7423254620001027,0.7423254620001027,HIGH,0.7423254620001027,0.7423254620001027
MTR_000082,0.27487026624230926,1,-1,0.2824091863696164,0.2824091863696164,LOW,0.2824091863696164,0.2824091863696164
MTR_000083,0.6191723093025879,1,-1,0.5234206165118115,0.5234206165118115,MEDIUM,0.5234206165118115,0.5234206165118115
MTR_000084,0.6013021796148315,1,-1,0.510911525730382,0.510911525730382,MEDIUM,0.510911525730382,0.510911525730382
MTR_000085,0.2937434191404891,1,-1,0.29562039339834234,0.29562039339834234,LOW,0.29562039339834234,0.29562039339834234
MTR_000086,0.6502115197882384,1,-1,0.5451480638517668,0.5451480638517668,MEDIUM,0.5451480638517668,0.5451480638517668
MTR_000087,0.3566149164804192,1,-1,0.3396304415362934,0.3396304415362934,LOW,0.3396304415362934,0.3396304415362934
MTR_000088,0.2730280375635748,1,-1,0.2811196262945024,0.2811196262945024,LOW,0.2811196262945024,0.2811196262945024
MTR_000089,0.6728722841542515,1,-1,0.561010598907976,0.561010598907976,MEDIUM,0.561010598907976,0.561010598907976
MTR_000090,0.6371979369928301,1,-1,0.5360385558949811,0.5360385558949811,MEDIUM,0.5360385558949811,0.5360385558949811
MTR_000091,0.29266628099479663,1,-1,0.2948663966963576,0.2948663966963576,LOW,0.2948663966963576,0.2948663966963576
MTR_000092,0.2739954282364684,1,-1,0.28179679976552785,0.28179679976552785,LOW,0.28179679976552785,0.28179679976552785
MTR_000093,0.34797801310228776,1,-1,0.3335846091716014,0.3335846091716014,LOW,0.3335846091716014,0.3335846091716014
MTR_000094,0.40727351639274156,1,-1,0.3750914614749191,0.3750914614749191,LOW,0.3750914614749191,0.3750914614749191
MTR_000095,0.412305456108746,1,-1,0.37861381927612214,0.37861381927612214,LOW,0.37861381927612214,0.37861381927612214
MTR_000096,0.44928394658200244,1,-1,0.4044987626074017,0.4044987626074017,LOW,0.4044987626074017,0.4044987626074017
MTR_000097,0.27342695628570585,1,-1,0.2813988693999941,0.2813988693999941,LOW,0.2813988693999941,0.2813988693999941
MTR_000098,0.717731639391111,1,-1,0.5924121475737776,0.5924121475737776,MEDIUM,0.5924121475737776,0.5924121475737776
MTR_000099,0.4174367884791784,1,-1,0.38220575193542483,0.38220575193542483,LOW,0.38220575193542483,0.38220575193542483
MTR_000100,0.3493302956607852,1,-1,0.3345312069625496,0.3345312069625496,LOW,0.3345312069625496,0.3345312069625496
MTR_000101,0.2760036809149552,1,-1,0.28320257664046866,0.28320257664046866,LOW,0.28320257664046866,0.28320257664046866
MTR_000102,0.3016699629325879,1,-1,0.3011689740528115,0.3011689740528115,LOW,0.3011689740528115,0.3011689740528115
MTR_000103,0.30654039116290455,1,-1,0.30457827381403313,0.30457827381403313,LOW,0.30457827381403313,0.30457827381403313
MTR_000104,0.6437725600637308,1,-1,0.5406407920446116,0.5406407920446116,MEDIUM,0.5406407920446116,0.5406407920446116
MTR_000105,0.2956129234301797,1,-1,0.2969290464011258,0.2969290464011258,LOW,0.2969290464011258,0.2969290464011258
MTR_000106,0.4485493138832798,1,-1,0.40398451971829585,0.40398451971829585,LOW,0.40398451971829585,0.40398451971829585
MTR_000107,0.6126148515451433,1,-1,0.5188303960816003,0.5188303960816003,MEDIUM,0.5188303960816003,0.5188303960816003
MTR_000108,0.28828387405158695,1,-1,0.29179871183611084,0.29179871183611084,LOW,0.29179871183611084,0.29179871183611084
