meter_id,transformer_id,customer_class,barangay,lat,lon,monthly_consumption_202411,monthly_consumption_202412,monthly_consumption_202501,monthly_consumption_202502,monthly_consumption_202503,monthly_consumption_202504,monthly_consumption_202505,monthly_consumption_202506,monthly_consumption_202507,monthly_consumption_202508,monthly_consumption_202509,monthly_consumption_202510,kVA
MTR_000001,TX_0001,commercial,Poblacion,14.40931843292033,120.979165371874,710.5139593300406,811.284725865107,663.028599150915,633.1543265805174,1070.6515788640493,897.3306199906262,996.2795323765282,932.9184474394125,989.9046712793144,945.066051855946,1037.301270823344,1023.9663362565999,1296.97
MTR_000002,TX_0001,industrial,Poblacion,14.410862218377398,120.98177027925196,2567.06980987081,2539.667307042285,2288.510293175379,2688.709694263734,2856.563043980446,3060.1561115638533,3464.837688402039,3511.064366280743,3665.9804861057355,3654.813029887502,4160.62049928565,4001.7946401698905,6021.55
MTR_000003,TX_0001,commercial,Poblacion,14.409809335678322,120.98059078290538,808.8967679705162,653.7402831112338,866.5377981677259,684.3119608888815,785.6200290971179,924.6617097617992,949.8701013251073,931.5859858794962,992.3781952058831,889.2958546659453,966.2221003164644,915.15344902468,1307.16
MTR_000004,TX_0001,residential,Poblacion,14.410877094834065,120.98056567505168,47.67162112161901,280.3101329790733,108.76020180069207,263.7583621415653,140.57053482846496,0.0,133.4641680609939,302.34999668975246,246.06144326991262,35.37712172759258,46.915414939302025,278.54033841198327,371.66
MTR_000005,TX_0001,residential,Poblacion,14.410374255122878,120.9779696901212,93.41494899324397,98.77369369760049,60.40711796197658,64.84679637741091,257.228249221003,0.0,106.15719592703392,136.70346095356336,16.42643532656504,351.42774874636484,232.7422432294168,377.2753094388173,502.35
MTR_000006,TX_0001,industrial,Poblacion,14.408631089002625,120.97833484722642,686.9566421396813,698.7352554188834,585.3286842801087,586.3170283208322,487.8189968827387,609.2719177124911,553.1152427968017,582.4205424387759,543.1110153540772,475.68606173038705,417.7459406304685,353.8400168082647,884.99
MTR_000007,TX_0001,residential,Poblacion,14.409701748485432,120.9802452816108,93.78855908344548,261.40162772646414,202.40561988499917,216.6424559885299,163.51787308996512,319.61592128760276,375.9497049362904,184.22330584792206,298.10337166628705,198.8709735096057,55.85450351154461,130.00419295149726,469.5
MTR_000008,TX_0001,commercial,Poblacion,14.411149999861625,120.98179696592891,216.82382564719254,222.23788339514505,244.14672740658094,127.67155927230995,178.38217314428852,195.22239899902397,192.46293286647457,209.82422531058904,192.93591241008795,183.06998473630117,150.41017392060203,131.6844564357558,300.85
MTR_000009,TX_0001,residential,Poblacion,14.40913903125977,120.97944095382745,252.69422748416707,281.83462974230576,0.0,257.51123783790683,241.71341362888046,0.0,214.9935925757333,0.0,219.17003094889006,236.48057962335508,0.0,0.0,418.76
MTR_000010,TX_0001,residential,Poblacion,14.411758506478462,120.98099048135498,0.0,0.0,21.34877324032763,61.37117226105791,239.2089917221123,216.33875286519392,75.74784966041005,137.6177194407437,0.0,134.9064450906291,226.83733062476824,23.0075710693135,306.88
MTR_000011,TX_0001,residential,Poblacion,14.410124804304537,120.98205841786292,223.319302977196,121.76216239897455,51.88030383044325,359.9002977391133,251.41269175660943,0.0,161.1737407770068,288.54672327536395,8.344340367913645,204.72835459234,135.28476152547336,270.8409801769808,456.46
MTR_000012,TX_0001,industrial,Poblacion,14.411095478023901,120.9794479847361,620.2628108535192,570.7193202391879,556.4732457340081,558.0469653224465,496.88980725053824,441.52578375856234,520.0571502735764,448.43314115370066,466.05354780542757,370.5610489558021,316.5341943765775,222.6040983850929,873.5
