transformer_id,feeder_id,barangay,lat,lon,capacity_kVA
TX_0001,FD_09,Poblacion,14.682585360432725,121.1424679769307,50.0
TX_0002,FD_09,Poblacion,14.669817561786811,121.14849986260963,150.0
TX_0003,FD_04,Santa Cruz,14.47650956492432,121.02805630316408,500.0
TX_0004,FD_08,San Miguel,14.533790116881196,120.90866489821869,300.0
TX_0005,FD_08,Mabini,14.709769348096176,121.16924550819822,150.0
TX_0006,FD_01,Maligaya,14.497228078682747,121.14226872071474,200.0
TX_0007,FD_05,San Miguel,14.500031412352675,120.88794534379711,75.0
TX_0008,FD_03,Rizal,14.447296934176626,121.15660643316606,75.0
TX_0009,FD_06,San Isidro,14.477161710790645,120.96873956732384,100.0
TX_0010,FD_03,Poblacion,14.667598230021289,121.13814092298433,100.0
